섹션,위치/파일,항목,수정전,수정후
사이트 핵심 정체성,lib/site-config.ts,사이트명,gongnori.fan,gongnori.fan
사이트 핵심 정체성,app/layout.tsx,PWA 앱 이름,공놀이,공놀이판
사이트 핵심 정체성,lib/site-config.ts / home-client.tsx,태그라인,그깟 공놀이를 좋아하는 팬들의 놀이터,그깟 공놀이에 진심인 팬들의 놀이터
사이트 핵심 정체성,lib/site-config.ts,meta description,그깟 공놀이를 좋아하는 팬들의 놀이터. 스포츠 팬들이 경기 결과를 가볍게 예측하고 이야기 나누는 커뮤니티 서비스입니다.,"그깟 공놀이에 진심인 팬들의 놀이터. 경기 결과를 예측하고, 이야기하고, 팬심을 기록하는 스포츠 팬 커뮤니티입니다."
사이트 핵심 정체성,app/layout.tsx,OG 이미지 alt,gongnori.fan - 스포츠 예측 커뮤니티,gongnori.fan - 스포츠 팬 커뮤니티
사이트 핵심 정체성,components/home/home-client.tsx,홈 H1,gongnori.fan — 스포츠 팬 커뮤니티,gongnori.fan — 공놀이에 진심인 팬들의 놀이터
사이트 핵심 정체성,components/header/header-nav.tsx,상단 메뉴 라벨,담벼락 · 운동장 · 월드컵 이벤트 · 게임,담벼락 · 운동장 · 월드컵 이벤트 · 게임
About,app/about/page.tsx,본문 1,"그깟 공놀이를 좋아하는 팬들의 놀이터. 스포츠 팬들이 경기 결과를 가볍게 예측하고, 응원하는 팀과 선수에 대해 이야기하는 커뮤니티 서비스입니다.","공놀이는 그깟 공놀이에 진심인 팬들이 모이는 놀이터입니다. 오늘 경기 결과를 가볍게 예측하고, 응원하는 팀과 선수 이야기를 마음껏 나눌 수 있는 스포츠 팬 커뮤니티입니다."
About,app/about/page.tsx,본문 2,"매일 무료로 지급되는 볼(토큰)로 실제 프로토 배당률에 맞춰 승부를 예측합니다. 적중률은 누적되어 랭킹으로 기록되고, 축구·야구·농구·배구 종목별 적중률도 따로 집계됩니다. 감에 의존하는 공허한 예측이 아니라, 증명된 적중률을 가진 팬이 스스로를 드러낼 수 있는 공간입니다.","매일 무료로 받는 볼로 경기 결과를 예측하고, 맞힌 기록은 랭킹으로 쌓입니다. 전체 적중률은 물론 축구·야구·농구·배구 종목별 기록도 따로 남아요. 감으로 던지는 한마디에서 끝나지 않고, 내가 얼마나 잘 예측하는 팬인지 기록으로 보여줄 수 있습니다."
About,app/about/page.tsx,본문 3,"예측 외에도 게시판별 커뮤니티, 기자 분석글, 팀 경기장 건설, 팬타지 드래프트 같은 게임형 컨텐츠가 열려 있습니다. 스포츠가 삶에서 사라지지 않는 모든 팬이 하루에 한 번쯤 들를 만한, 가볍고 즐거운 놀이터를 지향합니다.","공놀이는 예측만 하는 곳이 아닙니다. 담벼락에서 떠들고, 운동장에서 관심 게시판을 찾고, 분석글을 읽고, 팀 경기장을 키우고, 드래프트 게임으로 나만의 팀을 만들 수 있어요. 스포츠가 하루에서 쉽게 사라지지 않는 사람들을 위한, 가볍지만 진심인 팬들의 놀이터를 지향합니다."
SEO 메타,app/*/metadata,/,(동적) | gongnori.fan,(동적) | gongnori.fan
SEO 메타,app/*/metadata,/about title,회사 소개,공놀이판 소개
SEO 메타,app/*/metadata,/about description,gongnori.fan 소개 — 스포츠 팬들을 위한 예측 + 커뮤니티 플랫폼,공놀이판 소개 — 스포츠 팬들을 위한 예측과 커뮤니티 놀이터
SEO 메타,app/*/metadata,/explore title,탐색,운동장
SEO 메타,app/*/metadata,/explore description,다양한 스포츠 커뮤니티를 탐색하세요,관심 있는 게시판을 찾아 팔로우하고 내 담벼락을 채워보세요
SEO 메타,app/*/metadata,/prediction title,승부예측,승부예측
SEO 메타,app/*/metadata,/prediction description,오늘의 경기를 예측하고 팬심을 증명해보세요,"오늘의 경기를 예측하고, 맞힌 기록을 랭킹으로 남겨보세요"
SEO 메타,app/*/metadata,/share title,토픽 점유율,지금 뜨는 토픽
SEO 메타,app/*/metadata,/share description,각 게시판에서 가장 많이 이야기되는 토픽을 한눈에 확인하세요,각 게시판에서 지금 가장 많이 이야기되는 주제를 확인하세요
SEO 메타,app/*/metadata,/search title,검색,검색
SEO 메타,app/*/metadata,/search description,공놀이 게시글 검색,공놀이판 게시글을 검색해보세요
SEO 메타,app/*/metadata,/shop title,상점,상점
SEO 메타,app/*/metadata,/shop description,"밈 스티커, 칭호, 픽셀아트를 활동 포인트로 구매하세요","밈 스티커, 칭호, 픽셀아트로 내 캐릭터를 꾸며보세요"
SEO 메타,app/*/metadata,/stadium title,Stadium Map — gongnori.fan,경기장 — gongnori.fan
SEO 메타,app/*/metadata,/stadium description,경기장을 탐험하고 건설에 참여하세요,예측으로 모은 포인트를 보태 내 팀의 경기장을 키워보세요
SEO 메타,app/*/metadata,/stadium/chat-preview title,경기장 채팅방 프리뷰 | gongnori.fan,경기장 채팅방 프리뷰 | gongnori.fan
SEO 메타,app/*/metadata,/metaverse title,메타버스 · 국가 선택,국가 선택
SEO 메타,app/*/metadata,/metaverse description,입장할 국가를 선택하세요 — 공동체의 경기장 메타버스,응원하는 리그의 월드맵으로 입장하세요
SEO 메타,app/*/metadata,/metaverse/highbury title,하이버리 — 메타버스,하이버리 — 메타버스
SEO 메타,app/*/metadata,/metaverse/highbury description,아스날 하이버리 스타디움 + 클럭 엔드 (내부 테스트),아스날 하이버리 스타디움과 클락 엔드 내부 테스트
SEO 메타,app/*/metadata,/games title,게임,게임
SEO 메타,app/*/metadata,/games description,—,여러 미니게임
SEO 메타,app/*/metadata,/games/draft title,드래프트 게임,드래프트 게임
SEO 메타,app/*/metadata,/games/draft description,아스널 선수 드래프트 ― 한정된 예산으로 나만의 드림팀을 만들어보세요.,"한정된 예산으로 선수를 고르고, 나만의 드림팀을 만들어보세요."
SEO 메타,app/*/metadata,/games/draft/arsenal title,아스널 선수 드래프트,아스널 선수 드래프트
SEO 메타,app/*/metadata,/games/draft/arsenal description,2003 인비저블부터 2026 현재까지 — 아스널 219명에서 예산 $100으로 나만의 베스트 일레븐.,"2003 인빈시블부터 2026 현재까지, 예산 $100으로 아스널 베스트 일레븐을 만들어보세요."
SEO 메타,app/*/metadata,/games/draft/epl title,EPL FPL 드래프트,EPL FPL 드래프트
