game_slug,external_id,name,name_ko,image_url,primary_position,price,team,team_ko,era,description_ko,attribute_json,estimated,source,notes,confidence
arsenal-fantasy,af-lehmann,Jens Lehmann,옌스 레만,,GK,8.0,Arsenal,아스날,2003-2008,Invincibles 시즌 골키퍼. 전 38경기 무패 우승의 마지막 라인.,"{""apps"":200,""clean_sheets"":80,""trophies"":3,""iconicity"":""S""}",false,https://en.wikipedia.org/wiki/Jens_Lehmann,Invincibles 멤버,0.95
arsenal-fantasy,af-szczesny,Wojciech Szczesny,보이체흐 슈쳉스니,,GK,6.0,Arsenal,아스날,2009-2017,2014/2017 FA Cup 우승. Arsenal 최장기 폴란드 GK.,"{""apps"":181,""clean_sheets"":62,""trophies"":2,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Wojciech_Szczesny,,0.9
arsenal-fantasy,af-cech,Petr Cech,페트르 체흐,,GK,5.5,Arsenal,아스날,2015-2019,2017 FA Cup 우승. Chelsea 출신 노련한 GK.,"{""apps"":137,""clean_sheets"":46,""trophies"":1,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Petr_%C4%8Cech,,0.92
arsenal-fantasy,af-leno,Bernd Leno,베른트 레노,,GK,4.5,Arsenal,아스날,2018-2022,2020 FA Cup 우승. 안정적인 독일 GK.,"{""apps"":125,""clean_sheets"":36,""trophies"":1,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Bernd_Leno,,0.9
arsenal-fantasy,af-ramsdale,Aaron Ramsdale,아론 램스데일,,GK,4.0,Arsenal,아스날,2021-2024,Arteta 부활 시기 GK. EFL Cup 결승 진출.,"{""apps"":89,""clean_sheets"":31,""trophies"":0,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Aaron_Ramsdale,,0.88
arsenal-fantasy,af-raya,David Raya,다비드 라야,,GK,6.5,Arsenal,아스날,2023-current,현 No.1 GK. PL 골든글러브 후보.,"{""apps"":85,""clean_sheets"":35,""trophies"":0,""iconicity"":""A""}",true,https://en.wikipedia.org/wiki/David_Raya,진행 중인 시즌 stats,0.85
arsenal-fantasy,af-cole,Ashley Cole,애슐리 콜,,DF,10.0,Arsenal,아스날,2000-2006,Invincibles 좌측 풀백. 역대 최고 LB 중 한 명. 2006 첼시 이적.,"{""apps"":228,""goals"":9,""trophies"":7,""iconicity"":""S""}",false,https://en.wikipedia.org/wiki/Ashley_Cole,,0.95
arsenal-fantasy,af-toure,Kolo Toure,콜로 투레,,DF,8.0,Arsenal,아스날,2002-2009,Invincibles CB. 전 시즌 38경기 무패 출전 4명 중 1명.,"{""apps"":326,""goals"":14,""trophies"":3,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Kolo_Tour%C3%A9,,0.92
arsenal-fantasy,af-campbell,Sol Campbell,솔 캠벨,,DF,9.0,Arsenal,아스날,2001-2006,Invincibles CB. Spurs 이적의 상징. 2006 챔스 결승골.,"{""apps"":197,""goals"":11,""trophies"":4,""iconicity"":""S""}",false,https://en.wikipedia.org/wiki/Sol_Campbell,,0.93
arsenal-fantasy,af-sagna,Bacary Sagna,바카리 사냐,,DF,7.0,Arsenal,아스날,2007-2014,프리미어 최고 RB 중 한 명. 2014 FA Cup 우승.,"{""apps"":284,""goals"":6,""trophies"":1,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Bacary_Sagna,,0.9
arsenal-fantasy,af-lauren,Lauren,라우렌,,DF,6.5,Arsenal,아스날,2000-2007,Invincibles RB. 카메룬 출신 공격적 풀백.,"{""apps"":241,""goals"":8,""trophies"":4,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Lauren_(footballer),,0.9
arsenal-fantasy,af-gallas,William Gallas,윌리암 갈라,,DF,5.5,Arsenal,아스날,2006-2010,첼시에서 콜과 맞교환. 캡틴 시절 논란도 많았던 CB.,"{""apps"":142,""goals"":8,""trophies"":0,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/William_Gallas,,0.9
arsenal-fantasy,af-vermaelen,Thomas Vermaelen,토마스 페어말렌,,DF,4.5,Arsenal,아스날,2009-2014,Verminator. 부상 잦았지만 데뷔 시즌 9골.,"{""apps"":150,""goals"":15,""trophies"":1,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Thomas_Vermaelen,,0.88
arsenal-fantasy,af-mertesacker,Per Mertesacker,페어 메르테자커,,DF,6.5,Arsenal,아스날,2011-2018,BFG. 196cm 캡틴. FA Cup 3회 우승.,"{""apps"":221,""goals"":9,""trophies"":3,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Per_Mertesacker,,0.92
arsenal-fantasy,af-koscielny,Laurent Koscielny,로랑 코시엘니,,DF,8.0,Arsenal,아스날,2010-2019,캡틴. Arsenal 통산 최다 출전 DF 중. FA Cup 3회.,"{""apps"":353,""goals"":27,""trophies"":3,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Laurent_Koscielny,,0.93
arsenal-fantasy,af-monreal,Nacho Monreal,나초 몬레알,,DF,6.0,Arsenal,아스날,2013-2019,스페인 LB. FA Cup 3회. 안정적인 풀백.,"{""apps"":251,""goals"":9,""trophies"":3,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/Nacho_Monreal,,0.9
arsenal-fantasy,af-bellerin,Hector Bellerin,엑토르 베예린,,DF,6.0,Arsenal,아스날,2013-2022,La Masia 출신 RB. 한때 PL 최고 빠른 선수.,"{""apps"":239,""goals"":8,""trophies"":2,""iconicity"":""A""}",false,https://en.wikipedia.org/wiki/H%C3%A9ctor_Beller%C3%ADn,,0.9
arsenal-fantasy,af-tierney,Kieran Tierney,키어란 티어니,,DF,4.5,Arsenal,아스날,2019-2024,스코틀랜드 LB. 부상 잦았으나 팬 사랑.,"{""apps"":119,""goals"":4,""trophies"":0,""iconicity"":""B""}",false,https://en.wikipedia.org/wiki/Kieran_Tierney,,0.88
